"Accession"	"Description"	"Sum(Coverage)"	"Sum(# Proteins)"	"Sum(# Unique Peptides)"	"Sum(# Peptides)"	"Sum(# PSMs)"	"# Peptides A2"	"# Peptides A6"	"# PSM A2"	"# PSM A6"	"Coverage A2"	"Coverage A6"	"Score A2"	"Score A6"	"# AAs"	"MW [kDa]"	"calc. pI"
"P01009"	"Alpha-1-antitrypsin OS=Homo sapiens GN=SERPINA1 PE=1 SV=3 - [A1AT_HUMAN]"	"27.51 %"	"1"	"8"	"8"	"17"	"6"	"5"	"9"	"8"	"16.51 %"	"21.53 %"	"414.51 "	"25.64 "	"418"	"46.7"	"5.59"
"P04217"	"Alpha-1B-glycoprotein OS=Homo sapiens GN=A1BG PE=1 SV=4 - [A1BG_HUMAN]"	"49.29 %"	"1"	"14"	"14"	"137"	"13"	"12"	"54"	"83"	"40.81 %"	"46.26 %"	"1752.26 "	"189.66 "	"495"	"54.2"	"5.86"
"P08697"	"Alpha-2-antiplasmin OS=Homo sapiens GN=SERPINF2 PE=1 SV=3 - [A2AP_HUMAN]"	"31.16 %"	"1"	"12"	"12"	"74"	"11"	"8"	"38"	"36"	"28.72 %"	"28.11 %"	"1123.90 "	"114.78 "	"491"	"54.5"	"6.29"
"P02750"	"Leucine-rich alpha-2-glycoprotein OS=Homo sapiens GN=LRG1 PE=1 SV=2 - [A2GL_HUMAN]"	"47.55 %"	"1"	"12"	"12"	"155"	"12"	"8"	"89"	"66"	"47.55 %"	"38.33 %"	"2831.23 "	"198.80 "	"347"	"38.2"	"6.95"
"P01023"	"Alpha-2-macroglobulin OS=Homo sapiens GN=A2M PE=1 SV=3 - [A2MG_HUMAN]"	"30.12 %"	"1"	"30"	"30"	"87"	"27"	"24"	"43"	"44"	"26.53 %"	"25.92 %"	"1502.19 "	"144.90 "	"1474"	"163.2"	"6.46"
"P02768"	"Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=2 - [ALBU_HUMAN]"	"43.51 %"	"3"	"24"	"24"	"91"	"22"	"15"	"43"	"48"	"39.74 %"	"31.53 %"	"1500.72 "	"167.84 "	"609"	"69.3"	"6.28"
"P02760"	"Protein AMBP OS=Homo sapiens GN=AMBP PE=1 SV=1 - [AMBP_HUMAN]"	"12.50 %"	"3"	"3"	"3"	"12"	"3"	"2"	"7"	"5"	"12.50 %"	"10.23 %"	"210.89 "	"16.32 "	"352"	"39.0"	"6.25"
"P02647"	"Apolipoprotein A-I OS=Homo sapiens GN=APOA1 PE=1 SV=1 - [APOA1_HUMAN]"	"58.05 %"	"1"	"16"	"16"	"83"	"15"	"13"	"47"	"36"	"54.31 %"	"47.19 %"	"1993.39 "	"121.82 "	"267"	"30.8"	"5.76"
"P06727"	"Apolipoprotein A-IV OS=Homo sapiens GN=APOA4 PE=1 SV=3 - [APOA4_HUMAN]"	"16.41 %"	"1"	"6"	"6"	"10"	"6"	"3"	"7"	"3"	"16.41 %"	"8.33 %"	"256.81 "	"9.61 "	"396"	"45.4"	"5.38"
"P05090"	"Apolipoprotein D OS=Homo sapiens GN=APOD PE=1 SV=1 - [APOD_HUMAN]"	"19.58 %"	"2"	"4"	"4"	"10"	"4"	"4"	"5"	"5"	"19.58 %"	"19.58 %"	"321.58 "	"18.44 "	"189"	"21.3"	"5.15"
"P02749"	"Beta-2-glycoprotein 1 OS=Homo sapiens GN=APOH PE=1 SV=3 - [APOH_HUMAN]"	"29.57 %"	"3"	"8"	"8"	"44"	"8"	"7"	"21"	"23"	"29.57 %"	"26.96 %"	"763.47 "	"81.52 "	"345"	"38.3"	"7.97"
"Q9NZP8"	"Complement C1r subcomponent-like protein OS=Homo sapiens GN=C1RL PE=1 SV=2 - [C1RL_HUMAN]"	"12.11 %"	"1"	"5"	"5"	"11"	"4"	"2"	"6"	"5"	"8.21 %"	"6.78 %"	"192.20 "	"19.11 "	"487"	"53.5"	"7.20"
"Q96IY4"	"Carboxypeptidase B2 OS=Homo sapiens GN=CPB2 PE=1 SV=2 - [CBPB2_HUMAN]"	"16.31 %"	"1"	"7"	"7"	"22"	"7"	"5"	"14"	"8"	"16.31 %"	"13.00 %"	"469.76 "	"29.97 "	"423"	"48.4"	"7.71"
"P05156"	"Complement factor I OS=Homo sapiens GN=CFI PE=1 SV=2 - [CFAI_HUMAN]"	"25.21 %"	"3"	"4"	"11"	"67"	"11"	"9"	"36"	"31"	"25.21 %"	"22.47 %"	"1506.40 "	"107.25 "	"583"	"65.7"	"7.50"
"P06681"	"Complement C2 OS=Homo sapiens GN=C2 PE=1 SV=2 - [CO2_HUMAN]"	"35.51 %"	"1"	"7"	"22"	"85"	"22"	"15"	"46"	"39"	"35.51 %"	"27.13 %"	"1747.97 "	"133.91 "	"752"	"83.2"	"7.42"
"P10643"	"Complement component C7 OS=Homo sapiens GN=C7 PE=1 SV=2 - [CO7_HUMAN]"	"42.82 %"	"1"	"1"	"22"	"104"	"20"	""	"49"	""	"37.72 %"	"0.00 %"	"1850.89 "	""	"843"	"93.5"	"6.48"
"P54108"	"Cysteine-rich secretory protein 3 OS=Homo sapiens GN=CRISP3 PE=1 SV=1 - [CRIS3_HUMAN]"	"18.37 %"	"6"	"3"	"3"	"18"	"3"	"2"	"8"	"10"	"18.37 %"	"15.10 %"	"140.76 "	"20.31 "	"245"	"27.6"	"7.80"
"P59665"	"Neutrophil defensin 1 OS=Homo sapiens GN=DEFA1 PE=1 SV=1 - [DEF1_HUMAN]"	"15.96 %"	"2"	"2"	"2"	"3"	"2"	""	"3"	""	"15.96 %"	"0.00 %"	"88.75 "	""	"94"	"10.2"	"6.99"
"P09172"	"Dopamine beta-hydroxylase OS=Homo sapiens GN=DBH PE=1 SV=3 - [DOPO_HUMAN]"	"31.77 %"	"1"	"13"	"13"	"53"	"13"	"12"	"27"	"26"	"31.77 %"	"26.74 %"	"1046.86 "	"87.40 "	"617"	"69.0"	"6.42"
"P00488"	"Coagulation factor XIII A chain OS=Homo sapiens GN=F13A1 PE=1 SV=4 - [F13A_HUMAN]"	"29.10 %"	"2"	"15"	"15"	"44"	"13"	"14"	"21"	"23"	"26.78 %"	"27.73 %"	"950.82 "	"78.34 "	"732"	"83.2"	"6.09"
"P05160"	"Coagulation factor XIII B chain OS=Homo sapiens GN=F13B PE=1 SV=3 - [F13B_HUMAN]"	"50.68 %"	"1"	"24"	"24"	"201"	"24"	"20"	"94"	"107"	"50.68 %"	"45.23 %"	"3255.65 "	"335.76 "	"661"	"75.5"	"6.39"
"O75015"	"Low affinity immunoglobulin gamma Fc region receptor III-B OS=Homo sapiens GN=FCGR3B PE=1 SV=2 - [FCG3B_HUMAN]"	"11.59 %"	"4"	"2"	"2"	"6"	"2"	"2"	"3"	"3"	"11.59 %"	"11.59 %"	"90.60 "	"9.70 "	"233"	"26.2"	"6.71"
"O75636"	"Ficolin-3 OS=Homo sapiens GN=FCN3 PE=1 SV=2 - [FCN3_HUMAN]"	"21.40 %"	"3"	"6"	"6"	"32"	"6"	"5"	"16"	"16"	"21.40 %"	"17.73 %"	"657.52 "	"56.83 "	"299"	"32.9"	"6.67"
"Q03591"	"Complement factor H-related protein 1 OS=Homo sapiens GN=CFHR1 PE=1 SV=2 - [FHR1_HUMAN]"	"27.27 %"	"2"	"3"	"6"	"17"	"5"	"5"	"7"	"10"	"16.97 %"	"24.55 %"	"327.46 "	"27.33 "	"330"	"37.6"	"7.39"
"P36980"	"Complement factor H-related protein 2 OS=Homo sapiens GN=CFHR2 PE=1 SV=1 - [FHR2_HUMAN]"	"37.78 %"	"2"	"4"	"7"	"36"	"6"	"5"	"16"	"20"	"25.19 %"	"31.11 %"	"645.19 "	"63.31 "	"270"	"30.6"	"6.38"
"P02671"	"Fibrinogen alpha chain OS=Homo sapiens GN=FGA PE=1 SV=2 - [FIBA_HUMAN]"	"14.90 %"	"3"	"7"	"7"	"40"	"6"	"6"	"15"	"25"	"12.59 %"	"13.16 %"	"635.94 "	"96.01 "	"866"	"94.9"	"6.01"
"P02675"	"Fibrinogen beta chain OS=Homo sapiens GN=FGB PE=1 SV=2 - [FIBB_HUMAN]"	"21.59 %"	"3"	"5"	"5"	"10"	"3"	"5"	"4"	"6"	"8.35 %"	"21.59 %"	"188.03 "	"21.72 "	"491"	"55.9"	"8.27"
"P02751"	"Fibronectin OS=Homo sapiens GN=FN1 PE=1 SV=4 - [FINC_HUMAN]"	"1.59 %"	"21"	"3"	"3"	"12"	"3"	"2"	"7"	"5"	"1.59 %"	"1.13 %"	"261.11 "	"15.68 "	"2386"	"262.5"	"5.71"
"Q92820"	"Gamma-glutamyl hydrolase OS=Homo sapiens GN=GGH PE=1 SV=2 - [GGH_HUMAN]"	"19.81 %"	"2"	"6"	"6"	"14"	"6"	"3"	"9"	"5"	"19.81 %"	"12.58 %"	"276.81 "	"15.86 "	"318"	"35.9"	"7.11"
"P02790"	"Hemopexin OS=Homo sapiens GN=HPX PE=1 SV=2 - [HEMO_HUMAN]"	"54.55 %"	"1"	"24"	"24"	"1031"	"24"	"17"	"549"	"482"	"54.55 %"	"45.24 %"	"13042.76 "	"1506.46 "	"462"	"51.6"	"7.02"
