"Accession"	"Description"	"Sum(Coverage)"	"Sum(# Proteins)"	"Sum(# Unique Peptides)"	"Sum(# Peptides)"	"Sum(# PSMs)"	"# Peptides A2"	"# Peptides A6"	"# PSM A2"	"# PSM A6"	"Coverage A2"	"Coverage A6"	"Score A2"	"Score A6"	"# AAs"	"MW [kDa]"	"calc. pI"
"P02768"	"Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=2 - [ALBU_HUMAN]"	"15.76 %"	"9"	"10"	"10"	"34"	"10"	"6"	"21"	"13"	"15.76 %"	"9.85 %"	"669.92 "	"42.28 "	"609"	"69.3"	"6.28"
"P02647"	"Apolipoprotein A-I OS=Homo sapiens GN=APOA1 PE=1 SV=1 - [APOA1_HUMAN]"	"17.23 %"	"1"	"4"	"4"	"7"	"4"	""	"7"	""	"17.23 %"	"0.00 %"	"213.64 "	""	"267"	"30.8"	"5.76"
"P05090"	"Apolipoprotein D OS=Homo sapiens GN=APOD PE=1 SV=1 - [APOD_HUMAN]"	"15.34 %"	"2"	"3"	"3"	"7"	"3"	"2"	"4"	"3"	"15.34 %"	"11.64 %"	"143.57 "	"8.30 "	"189"	"21.3"	"5.15"
"P02749"	"Beta-2-glycoprotein 1 OS=Homo sapiens GN=APOH PE=1 SV=3 - [APOH_HUMAN]"	"20.58 %"	"3"	"5"	"5"	"26"	"3"	"5"	"11"	"15"	"15.36 %"	"20.58 %"	"337.72 "	"52.21 "	"345"	"38.3"	"7.97"
"Q9NZP8"	"Complement C1r subcomponent-like protein OS=Homo sapiens GN=C1RL PE=1 SV=2 - [C1RL_HUMAN]"	"4.52 %"	"1"	"2"	"2"	"2"	"2"	""	"2"	""	"4.52 %"	"0.00 %"	"59.68 "	""	"487"	"53.5"	"7.20"
"P06681"	"Complement C2 OS=Homo sapiens GN=C2 PE=1 SV=2 - [CO2_HUMAN]"	"9.84 %"	"6"	"6"	"6"	"9"	"6"	"3"	"6"	"3"	"9.84 %"	"6.12 %"	"172.48 "	"10.93 "	"752"	"83.2"	"7.42"
"P01034"	"Cystatin-C OS=Homo sapiens GN=CST3 PE=1 SV=1 - [CYTC_HUMAN]"	"18.49 %"	"1"	"2"	"2"	"11"	"2"	"2"	"6"	"5"	"18.49 %"	"18.49 %"	"220.65 "	"14.92 "	"146"	"15.8"	"8.75"
"Q14118"	"Dystroglycan OS=Homo sapiens GN=DAG1 PE=1 SV=2 - [DAG1_HUMAN]"	"2.57 %"	"1"	"2"	"2"	"2"	"2"	""	"2"	""	"2.57 %"	"0.00 %"	"66.63 "	""	"895"	"97.4"	"8.56"
"Q9UGM5"	"Fetuin-B OS=Homo sapiens GN=FETUB PE=1 SV=2 - [FETUB_HUMAN]"	"12.04 %"	"5"	"4"	"4"	"9"	"3"	"2"	"5"	"4"	"6.81 %"	"8.38 %"	"108.82 "	"12.23 "	"382"	"42.0"	"6.83"
"P36980"	"Complement factor H-related protein 2 OS=Homo sapiens GN=CFHR2 PE=1 SV=1 - [FHR2_HUMAN]"	"21.85 %"	"2"	"5"	"5"	"22"	"5"	"4"	"12"	"10"	"21.85 %"	"18.52 %"	"466.87 "	"33.81 "	"270"	"30.6"	"6.38"
"P02671"	"Fibrinogen alpha chain OS=Homo sapiens GN=FGA PE=1 SV=2 - [FIBA_HUMAN]"	"11.78 %"	"3"	"6"	"6"	"24"	"6"	"5"	"12"	"12"	"11.78 %"	"10.62 %"	"375.25 "	"41.89 "	"866"	"94.9"	"6.01"
"P02751"	"Fibronectin OS=Homo sapiens GN=FN1 PE=1 SV=4 - [FINC_HUMAN]"	"4.32 %"	"21"	"8"	"8"	"63"	"8"	"7"	"33"	"30"	"4.32 %"	"4.07 %"	"1178.74 "	"102.56 "	"2386"	"262.5"	"5.71"
"P02790"	"Hemopexin OS=Homo sapiens GN=HPX PE=1 SV=2 - [HEMO_HUMAN]"	"49.78 %"	"1"	"18"	"18"	"146"	"18"	"10"	"85"	"61"	"49.78 %"	"34.63 %"	"2139.13 "	"209.13 "	"462"	"51.6"	"7.02"
"P01344"	"Insulin-like growth factor II OS=Homo sapiens GN=IGF2 PE=1 SV=1 - [IGF2_HUMAN]"	"13.89 %"	"1"	"2"	"2"	"4"	"2"	""	"4"	""	"13.89 %"	"0.00 %"	"128.41 "	""	"180"	"20.1"	"9.32"
"P01857"	"Ig gamma-1 chain C region OS=Homo sapiens GN=IGHG1 PE=1 SV=1 - [IGHG1_HUMAN]"	"38.18 %"	"13"	"6"	"9"	"55"	"8"	"6"	"39"	"16"	"31.52 %"	"29.09 %"	"914.98 "	"49.66 "	"330"	"36.1"	"8.19"
"P01859"	"Ig gamma-2 chain C region OS=Homo sapiens GN=IGHG2 PE=1 SV=2 - [IGHG2_HUMAN]"	"16.56 %"	"1"	"2"	"5"	"27"	"5"	""	"25"	""	"16.56 %"	"0.00 %"	"589.02 "	""	"326"	"35.9"	"7.59"
"Q9NPH3"	"Interleukin-1 receptor accessory protein OS=Homo sapiens GN=IL1RAP PE=1 SV=2 - [IL1AP_HUMAN]"	"5.26 %"	"1"	"3"	"3"	"3"	"3"	""	"3"	""	"5.26 %"	"0.00 %"	"64.59 "	""	"570"	"65.4"	"8.12"
