"Accession"	"Description"	"Sum(Coverage)"	"Sum(# Proteins)"	"Sum(# Unique Peptides)"	"Sum(# Peptides)"	"Sum(# PSMs)"	"# Peptides A2"	"# Peptides A6"	"# PSM A2"	"# PSM A6"	"Coverage A2"	"Coverage A6"	"Score A2"	"Score A6"	"# AAs"	"MW [kDa]"	"calc. pI"
"P01009"	"Alpha-1-antitrypsin OS=Homo sapiens GN=SERPINA1 PE=1 SV=3 - [A1AT_HUMAN]"	"44.98 %"	"1"	"15"	"15"	"83"	"15"	"7"	"46"	"37"	"44.98 %"	"30.38 %"	"1772.45 "	"119.60 "	"418"	"46.7"	"5.59"
"P04217"	"Alpha-1B-glycoprotein OS=Homo sapiens GN=A1BG PE=1 SV=4 - [A1BG_HUMAN]"	"54.34 %"	"1"	"16"	"16"	"392"	"15"	"12"	"196"	"196"	"45.86 %"	"48.28 %"	"5742.75 "	"489.19 "	"495"	"54.2"	"5.86"
"P08697"	"Alpha-2-antiplasmin OS=Homo sapiens GN=SERPINF2 PE=1 SV=3 - [A2AP_HUMAN]"	"44.81 %"	"1"	"13"	"13"	"77"	"13"	"9"	"45"	"32"	"44.81 %"	"37.07 %"	"1341.37 "	"109.85 "	"491"	"54.5"	"6.29"
"P02750"	"Leucine-rich alpha-2-glycoprotein OS=Homo sapiens GN=LRG1 PE=1 SV=2 - [A2GL_HUMAN]"	"43.80 %"	"1"	"10"	"10"	"86"	"10"	"6"	"53"	"33"	"43.80 %"	"33.14 %"	"1543.54 "	"104.23 "	"347"	"38.2"	"6.95"
"P01023"	"Alpha-2-macroglobulin OS=Homo sapiens GN=A2M PE=1 SV=3 - [A2MG_HUMAN]"	"10.45 %"	"1"	"8"	"8"	"18"	"5"	"7"	"7"	"11"	"6.65 %"	"9.63 %"	"174.05 "	"35.55 "	"1474"	"163.2"	"6.46"
"P01011"	"Alpha-1-antichymotrypsin OS=Homo sapiens GN=SERPINA3 PE=1 SV=2 - [AACT_HUMAN]"	"6.86 %"	"3"	"2"	"2"	"4"	"2"	"2"	"2"	"2"	"6.86 %"	"6.86 %"	"138.33 "	"7.53 "	"423"	"47.6"	"5.52"
"P43652"	"Afamin OS=Homo sapiens GN=AFM PE=1 SV=1 - [AFAM_HUMAN]"	"17.70 %"	"1"	"7"	"7"	"14"	"5"	"7"	"6"	"8"	"10.52 %"	"17.70 %"	"271.00 "	"29.70 "	"599"	"69.0"	"5.90"
"P02768"	"Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=2 - [ALBU_HUMAN]"	"75.37 %"	"1"	"45"	"45"	"6025"	"45"	"34"	"3614"	"2411"	"75.37 %"	"66.50 %"	"107775.18 "	"8685.35 "	"609"	"69.3"	"6.28"
"P02760"	"Protein AMBP OS=Homo sapiens GN=AMBP PE=1 SV=1 - [AMBP_HUMAN]"	"19.03 %"	"2"	"4"	"4"	"44"	"4"	"3"	"22"	"22"	"19.03 %"	"16.76 %"	"726.18 "	"71.18 "	"352"	"39.0"	"6.25"
"P01008"	"Antithrombin-III OS=Homo sapiens GN=SERPINC1 PE=1 SV=1 - [ANT3_HUMAN]"	"60.56 %"	"1"	"28"	"28"	"1674"	"27"	"20"	"882"	"792"	"60.56 %"	"51.08 %"	"42824.82 "	"3094.55 "	"464"	"52.6"	"6.71"
