"Accession"	"Description"	"Sum(Coverage)"	"Sum(# Proteins)"	"Sum(# Unique Peptides)"	"Sum(# Peptides)"	"Sum(# PSMs)"	"# Peptides A2"	"# Peptides A6"	"# PSM A2"	"# PSM A6"	"Coverage A2"	"Coverage A6"	"Score A2"	"Score A6"	"# AAs"	"MW [kDa]"	"calc. pI"
"P04217"	"Alpha-1B-glycoprotein OS=Homo sapiens GN=A1BG PE=1 SV=4 - [A1BG_HUMAN]"	"27.27 %"	"1"	"7"	"7"	"36"	"7"	"7"	"14"	"22"	"27.27 %"	"27.27 %"	"484.36 "	"47.42 "	"495"	"54.2"	"5.86"
"P08697"	"Alpha-2-antiplasmin OS=Homo sapiens GN=SERPINF2 PE=1 SV=3 - [A2AP_HUMAN]"	"13.24 %"	"2"	"3"	"3"	"6"	"3"	"2"	"4"	"2"	"13.24 %"	"10.59 %"	"107.82 "	"6.14 "	"491"	"54.5"	"6.29"
"P01023"	"Alpha-2-macroglobulin OS=Homo sapiens GN=A2M PE=1 SV=3 - [A2MG_HUMAN]"	"18.25 %"	"1"	"18"	"18"	"50"	"17"	"14"	"26"	"24"	"16.42 %"	"16.01 %"	"732.82 "	"83.98 "	"1474"	"163.2"	"6.46"
"P01011"	"Alpha-1-antichymotrypsin OS=Homo sapiens GN=SERPINA3 PE=1 SV=2 - [AACT_HUMAN]"	"47.52 %"	"3"	"19"	"19"	"1066"	"19"	"12"	"552"	"514"	"47.52 %"	"32.86 %"	"19829.88 "	"1870.04 "	"423"	"47.6"	"5.52"
"P43652"	"Afamin OS=Homo sapiens GN=AFM PE=1 SV=1 - [AFAM_HUMAN]"	"30.38 %"	"1"	"16"	"16"	"78"	"16"	"10"	"42"	"36"	"30.38 %"	"22.20 %"	"1365.30 "	"135.16 "	"599"	"69.0"	"5.90"
"P02768"	"Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=2 - [ALBU_HUMAN]"	"75.21 %"	"1"	"45"	"45"	"5034"	"45"	"35"	"3214"	"1820"	"75.21 %"	"66.50 %"	"88322.10 "	"6534.48 "	"609"	"69.3"	"6.28"
"P02760"	"Protein AMBP OS=Homo sapiens GN=AMBP PE=1 SV=1 - [AMBP_HUMAN]"	"12.50 %"	"3"	"3"	"3"	"21"	"3"	"2"	"12"	"9"	"12.50 %"	"10.23 %"	"408.68 "	"29.79 "	"352"	"39.0"	"6.25"
"P01019"	"Angiotensinogen OS=Homo sapiens GN=AGT PE=1 SV=1 - [ANGT_HUMAN]"	"32.99 %"	"6"	"11"	"11"	"123"	"11"	"10"	"67"	"56"	"32.99 %"	"30.93 %"	"3302.57 "	"207.88 "	"485"	"53.1"	"6.32"
"P01008"	"Antithrombin-III OS=Homo sapiens GN=SERPINC1 PE=1 SV=1 - [ANT3_HUMAN]"	"60.56 %"	"1"	"29"	"29"	"952"	"29"	"18"	"541"	"411"	"60.56 %"	"46.55 %"	"18836.46 "	"1440.77 "	"464"	"52.6"	"6.71"
"P02647"	"Apolipoprotein A-I OS=Homo sapiens GN=APOA1 PE=1 SV=1 - [APOA1_HUMAN]"	"37.45 %"	"1"	"9"	"9"	"36"	"9"	"7"	"21"	"15"	"37.45 %"	"29.59 %"	"905.64 "	"51.29 "	"267"	"30.8"	"5.76"
